client_id,event_time,steps,battery_level
1,2026-02-28 18:42:35.660647,5936,62
1,2026-02-27 18:42:35.660647,14716,87
1,2026-02-26 18:42:35.660647,3827,30
1,2026-02-25 18:42:35.660647,12129,32
1,2026-02-24 18:42:35.660647,1048,83
2,2026-02-28 18:42:35.660647,14592,90
2,2026-02-27 18:42:35.660647,7592,72
2,2026-02-26 18:42:35.660647,8499,63
2,2026-02-25 18:42:35.660647,7748,80
2,2026-02-24 18:42:35.660647,1540,90
3,2026-02-28 18:42:35.660647,10544,48
3,2026-02-27 18:42:35.660647,8365,26
3,2026-02-26 18:42:35.660647,12405,29
3,2026-02-25 18:42:35.660647,13482,87
3,2026-02-24 18:42:35.660647,4491,73
4,2026-02-28 18:42:35.660647,8367,24
4,2026-02-27 18:42:35.660647,10090,98
4,2026-02-26 18:42:35.660647,9935,86
4,2026-02-25 18:42:35.660647,2933,74
4,2026-02-24 18:42:35.660647,4582,99
5,2026-02-28 18:42:35.660647,8625,81
5,2026-02-27 18:42:35.660647,2183,73
5,2026-02-26 18:42:35.660647,14144,97
5,2026-02-25 18:42:35.660647,7075,10
5,2026-02-24 18:42:35.660647,13249,50
